Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,F,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,665.00,212.80,LG234660027,4.42,4.44,2.69,57.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG234660027.pdf,https://s3.amazonaws.com/lgdvideos/LG234660027.mp4
ROUND,I,VS2,0.35,GCAL,EXCELLENT,GOOD,EXCELLENT,,-65.00,630.00,220.50,263220041,4.53,4.54,2.78,57.0,THIN - MEDIUM,            ,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL263220041.pdf,https://s3.amazonaws.com/lgdvideos/263220041.mp4
ROUND,G,VVS2,0.31,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-66.82,730.01,226.30,LG250674042,4.33,4.36,2.75,56.5,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250674042.pdf,https://s3.amazonaws.com/lgdvideos/LG250674042.mp4
ROUND,G,VVS2,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.82,730.01,226.30,LG371991937,4.41,4.44,2.65,58.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG371991937.pdf,https://s3.amazonaws.com/lgdvideos/LG371991937.mp4
ROUND,G,VVS2,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.82,730.01,226.30,LG371991940,4.39,4.43,2.68,58.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG371991940.pdf,https://s3.amazonaws.com/lgdvideos/LG371991940.mp4
ROUND,E,VS1,0.3,IGI,IDEAL,VERY GOOD,EXCELLENT,,-66.96,760.01,228.00,LG286708348,4.37,4.39,2.61,59.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG286708348.pdf,https://s3.amazonaws.com/lgdvideos/LG286708348.mp4
ROUND,I,SI1,0.38,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,226.10,LG270766730,4.72,4.74,2.84,58.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270766730.pdf,            
ROUND,I,VVS1,0.33,IGI,IDEAL,VERY GOOD,EXCELLENT,,-66.90,694.98,229.34,LG250674457,4.45,4.51,2.74,57.0,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250674457.pdf,https://s3.amazonaws.com/lgdvideos/LG250674457.mp4
ROUND,G,VS2,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,700.00,231.00,LG371991919,4.52,4.54,2.72,58.0,THIN TO MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG371991919.pdf,https://s3.amazonaws.com/lgdvideos/LG371991919.mp4
ROUND,E,VS1,0.31,IGI,IDEAL,VERY GOOD,EXCELLENT,,-66.96,760.01,235.60,LG286708347,4.36,4.38,2.67,59.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG286708347.pdf,https://s3.amazonaws.com/lgdvideos/LG286708347.mp4
ROUND,K,VVS2,0.4,GCAL,EXCELLENT,VERY GOOD,VERY GOOD,,-66.94,594.99,237.99,261940037,4.72,4.77,2.91,58.0,THIN - MEDIUM,            ,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL261940037.pdf,https://s3.amazonaws.com/lgdvideos/261940037.mp4
ROUND,J,SI1,0.4,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,238.00,LG250603349,4.74,4.76,2.9,58.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250603349.pdf,https://s3.amazonaws.com/lgdvideos/LG250603349.mp4
ROUND,G,VS2,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,700.00,238.00,LG341804033,4.44,4.48,2.77,57.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG341804033.pdf,            
ROUND,G,VVS2,0.33,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-66.82,730.01,240.90,LG371991938,4.52,4.59,2.68,60.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG371991938.pdf,https://s3.amazonaws.com/lgdvideos/LG371991938.mp4
ROUND,E,VVS2,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.87,794.98,246.44,LG380972611,4.4,4.43,2.63,59.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG380972611.pdf,            
ROUND,G,SI1,0.39,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,630.00,245.70,LG265707725,4.68,4.71,2.89,58.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707725.pdf,            
ROUND,J,VS1,0.4,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.84,629.99,252.00,LG250603375,4.79,4.82,2.89,59.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250603375.pdf,https://s3.amazonaws.com/lgdvideos/LG250603375.mp4
ROUND,D,SI1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,735.00,249.90,LG355924774,4.48,4.5,2.77,58.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG355924774.pdf,            
ROUND,J,SI1,0.42,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,249.90,LG332808330,4.84,4.87,2.98,58.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG332808330.pdf,https://s3.amazonaws.com/lgdvideos/LG332808330.mp4
PRINCESS,K,SI2,0.54,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,,-63.85,470.01,253.80,271240106,4.43,4.36,3.17,69.0,SL.THICK - THICK,            ,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL271240106.pdf,            
ROUND,J,SI1,0.43,IGI,IDEAL,EXCELLENT,VERY GOOD,,-65.00,595.00,255.85,LG250603345,4.84,4.87,2.98,59.0,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250603345.pdf,https://s3.amazonaws.com/lgdvideos/LG250603345.mp4
ROUND,J,SI1,0.43,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,255.85,LG365963834,4.88,4.93,3.0,57.5,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG365963834.pdf,https://s3.amazonaws.com/lgdvideos/LG365963834.mp4
